Web name,Team,Position,Cost,Total_Points,Points_per_Million,xGI_per90,Base_Form_Value,Tuned_Score
J.Timber,Arsenal,DEF,5.6,149,26.607142857142858,0.0367047308319739,0.9214285714285715,1.4214285714285715
Guéhi,Crystal Palace,DEF,4.6,151,32.82608695652174,0.006,1.1652173913043478,1.3871506301640135
Lacroix,Crystal Palace,DEF,5.0,143,28.6,0.007429643527204503,1.16,1.3819332388596657
Raya,Arsenal,GKP,5.5,131,23.818181818181817,0.0006060606060606061,0.7854545454545455,1.2854545454545456
João Pedro,Chelsea,FWD,7.7,166,21.558441558441558,0.05653266331658291,0.8415584415584416,1.2818505826062283
Gabriel,Arsenal,DEF,6.1,177,29.016393442622952,0.003070362473347548,0.780327868852459,1.280327868852459
Richards,Crystal Palace,DEF,4.5,122,27.11111111111111,0.004657643312101911,1.0577777777777777,1.2797110166374435
B.Fernandes,Man Utd,MID,9.0,199,22.11111111111111,0.08535372848948375,0.7555555555555554,1.269226147992147
Enzo,Chelsea,MID,6.6,131,19.84848484848485,0.07364864864864865,0.6848484848484849,1.1784840753746928
Szoboszlai,Liverpool,MID,6.5,133,20.46153846153846,0.008087706685837527,0.8861538461538461,1.1359297197193725
Haaland,Man City,FWD,14.1,205,14.539007092198583,0.14438873891245663,0.3290780141843972,1.129078014184397
Mitchell,Crystal Palace,DEF,5.0,125,25.0,0.0034761235955056177,0.8800000000000001,1.1019332388596659
Casemiro,Man Utd,MID,5.5,148,26.90909090909091,0.006609071274298057,0.8,1.0682560537839756
Roefs,Sunderland,GKP,4.5,122,27.11111111111111,0.0,0.8266666666666667,1.0562347881423912
Van Hecke,Brighton,DEF,4.5,131,29.11111111111111,0.014347826086956521,0.8088888888888889,1.0308336926800687
Chalobah,Chelsea,DEF,5.1,132,25.88235294117647,0.027080890973036342,0.823529411764706,0.9720496845621784
Virgil,Liverpool,DEF,6.0,152,25.333333333333332,0.006363636363636363,0.7733333333333333,0.9561018573470342
Muñoz,Crystal Palace,DEF,5.6,120,21.42857142857143,0.03905053598774885,0.7071428571428572,0.929076096002523
Rice,Arsenal,MID,6.5,169,26.0,0.026086956521739132,0.5476923076923077,0.8861628654436302
Mbeumo,Man Utd,MID,8.1,126,15.555555555555555,0.08228123639529822,0.3654320987654321,0.8695270037017555
Ekitiké,Liverpool,FWD,8.8,125,14.204545454545453,0.07161936560934892,0.3863636363636363,0.8341414228963083
Cunha,Man Utd,MID,8.0,125,15.625,0.0418230563002681,0.445,0.8230034854814999
Mukiele,Sunderland,DEF,4.0,128,32.0,0.002699228791773779,0.5900000000000001,0.8195681214757246
Zubimendi,Arsenal,MID,5.5,123,22.363636363636363,0.003266787658802178,0.48000000000000004,0.7473495266676741
Matheus N.,Man City,DEF,5.4,139,25.74074074074074,0.0007364975450081834,0.3851851851851852,0.6585427417617485
Gravenberch,Liverpool,MID,5.5,127,23.09090909090909,0.002035431586882774,0.39272727272727276,0.623640707192331
Konaté,Liverpool,DEF,5.5,121,22.0,0.0003383458646616541,0.4290909090909091,0.61185943310461
Saka,Arsenal,MID,9.8,133,13.571428571428571,0.017142857142857144,0.2693877551020408,0.5799832531304775
Gomez,Brighton,MID,5.0,126,25.2,0.0024744697564807543,0.32,0.4968068354685272
James,Chelsea,DEF,5.5,131,23.818181818181817,0.01410535481062255,0.2327272727272727,0.38124754552474516
