Web name,Team,Position,Cost,Total_Points,Points_per_Million,xGI_per90,Base_Form_Value,Tuned_Score
B.Fernandes,Man Utd,MID,9.2,221,24.021739130434785,0.3370084033613445,0.773913043478261,1.3110529116839402
E.Le Fée,Sunderland,MID,4.9,142,28.97959183673469,0.1201056338028169,1.1510204081632651,1.3077691881887432
Haaland,Man City,FWD,15.1,230,15.2317880794702,0.5378623821166608,0.49536423841059607,1.295364238410596
Raya,Arsenal,GKP,6.0,156,26.0,0.0011111111111111111,0.7866666666666667,1.2866666666666666
Cherki,Man City,MID,6.6,133,20.151515151515152,0.2178780773739742,0.7333333333333334,1.2656199889504252
Van Hecke,Brighton,DEF,4.6,147,31.956521739130437,0.06807692307692308,0.9913043478260871,1.2029772196547377
Watkins,Aston Villa,FWD,8.5,154,18.11764705882353,0.1794750273423259,0.8517647058823529,1.1556087928330014
Rogers,Aston Villa,MID,7.3,169,23.15068493150685,0.12128048780487805,0.8767123287671234,1.1318682314116022
Casemiro,Man Utd,MID,5.5,165,30.0,0.11079611650485437,0.770909090909091,1.1187895268324408
Matheus N.,Man City,DEF,5.4,152,28.148148148148145,0.04027426921688921,0.8444444444444444,1.1061246331426722
Szoboszlai,Liverpool,MID,6.6,158,23.93939393939394,0.13147676639083386,0.7515151515151516,1.10127128062561
Donnarumma,Man City,GKP,5.7,134,23.50877192982456,0.0,0.8350877192982455,1.0967679079964734
Cunha,Man Utd,MID,8.0,143,17.875,0.21732851985559565,0.625,1.0620102637413429
Virgil,Liverpool,DEF,5.9,173,29.322033898305083,0.030270270270270273,0.8610169491525423,1.0107531910323833
Mukiele,Sunderland,DEF,4.2,147,35.0,0.05846325167037862,0.8,0.9998340688451749
Saka,Arsenal,MID,10.3,147,14.271844660194175,0.3358082706766917,0.3883495145631068,0.9967824302757591
Gabriel,Arsenal,DEF,6.2,202,32.58064516129032,0.05196940726577438,0.48387096774193544,0.9838709677419355
Rice,Arsenal,MID,7.2,179,24.86111111111111,0.15704295704295704,0.4888888888888889,0.9477586564620373
Gravenberch,Liverpool,MID,5.6,142,25.357142857142858,0.049501546923341355,0.65,0.931171952215242
Mbeumo,Man Utd,MID,8.1,139,17.160493827160494,0.31063829787234043,0.3654320987654321,0.8805095438223625
Roefs,Sunderland,GKP,4.8,134,27.916666666666668,0.0008823529411764705,0.675,0.8748340688451749
Enzo,Chelsea,MID,6.5,143,22.0,0.27791411042944786,0.39384615384615385,0.8643421334477753
João Pedro,Chelsea,FWD,7.2,176,24.444444444444443,0.21413551401869158,0.3,0.7171359207109157
Martinez,Aston Villa,GKP,5.0,165,33.0,0.0006794162053346753,0.5119999999999999,0.6884673372964707
Chalobah,Chelsea,DEF,5.5,134,24.363636363636363,0.0515881708652793,0.5454545454545454,0.6735033100438328
J.Timber,Arsenal,DEF,6.5,149,22.923076923076923,0.16774061990212075,0.1723076923076923,0.6723076923076923
James,Chelsea,DEF,5.6,136,24.28571428571429,0.09345870809484874,0.43928571428571433,0.5673344788750017
