Web name,Team,Position,Cost,Total_Points,Points_per_Million,xGI_per90,Base_Form_Value,Tuned_Score
J.Timber,Arsenal,DEF,5.7,74,12.982456140350877,0.1119698397737983,1.087719298245614,1.587719298245614
Chalobah,Chelsea,DEF,5.1,70,13.725490196078432,0.0961764705882353,1.2862745098039217,1.475560631823155
Lacroix,Crystal Palace,DEF,5.1,70,13.725490196078432,0.01846153846153846,1.184313725490196,1.4037225047470387
Guéhi,Crystal Palace,DEF,4.7,69,14.680851063829786,0.018333333333333333,1.0382978723404255,1.2577066515972681
Richards,Crystal Palace,DEF,4.5,59,13.11111111111111,0.027108433734939756,1.0311111111111113,1.250519890367954
Muñoz,Crystal Palace,DEF,5.6,75,13.392857142857144,0.09153846153846154,1.0285714285714287,1.2479802078282713
Calafiori,Arsenal,DEF,5.7,63,11.052631578947368,0.13350151362260343,0.6596491228070176,1.1596491228070176
Mitchell,Crystal Palace,DEF,5.0,62,12.4,0.018556701030927835,0.9199999999999999,1.1394087792568426
Gabriel,Arsenal,DEF,6.1,81,13.278688524590164,0.026363636363636363,0.6295081967213115,1.1295081967213116
O’Reilly,Man City,DEF,4.9,56,11.428571428571427,0.006610703043022036,0.7755102040816325,0.9419369177640335
Burn,Newcastle,DEF,5.0,59,11.8,0.010937500000000001,0.664,0.8782006346837488
Cucurella,Chelsea,DEF,6.2,56,9.032258064516128,0.053531598513011154,0.6451612903225806,0.8344474123418139
Van de Ven,Spurs,DEF,4.7,58,12.340425531914892,0.0543572044866264,0.6723404255319149,0.8104216407791358
Cash,Aston Villa,DEF,4.5,60,13.333333333333334,0.03848167539267016,0.5777777777777777,0.7943187216952374
James,Chelsea,DEF,5.4,68,12.592592592592592,0.03179142136248949,0.3074074074074074,0.4966935294266407
