Web name,Team,Position,Cost,Total_Points,Points_per_Million,xGI_per90,Base_Form_Value,Tuned_Score
Enzo,Chelsea,MID,6.7,98,14.626865671641792,0.11855381165919282,1.0029850746268658,1.4087991780259097
Semenyo,Bournemouth,MID,7.6,130,17.105263157894736,0.1309090909090909,0.7157894736842106,1.1442338160839896
Tavernier,Bournemouth,MID,5.5,94,17.09090909090909,0.06589103291713962,0.7781818181818182,1.102183417509099
Bruno G.,Newcastle,MID,6.5,120,18.46153846153846,0.023001631321370307,0.8553846153846154,1.0579953295863092
Rice,Arsenal,MID,6.5,125,19.23076923076923,0.04184873949579832,0.6523076923076924,0.9632786118262628
Gravenberch,Liverpool,MID,5.5,97,17.636363636363637,0.014123376623376621,0.5745454545454546,0.8294051571313374
Xhaka,Sunderland,MID,5.0,90,18.0,0.016513761467889906,0.656,0.768527412319449
Foden,Man City,MID,8.0,102,12.75,0.02797074954296161,0.35,0.7449312375405363
Saka,Arsenal,MID,9.8,99,10.10204081632653,0.02353750860289057,0.2530612244897959,0.5346176206812331
Rogers,Aston Villa,MID,7.0,103,14.714285714285714,0.020694941236586613,0.32,0.5052739980644058
