Team,Goals,Assist,CS,GC,xG,xGC,GW Points,Matches,Goals_per_Match,Assists_per_Match,GC_per_Match,Points_per_Match,Season_Goals,Season_Assists,Total_CS,Total_Points,Season_xGI,Season_xGC,Attack_Index,Defense_Index,Opp_GC_per_Match_Upcoming,Fixture_Difficulty_Score,Attack_Index_Fixture_Adjusted
Arsenal,67,66,199,297,0.981612426035503,4.271383136094674,2161,38,1.763157894736842,1.736842105263158,7.815789473684211,56.86842105263158,18.0,30.0,95.0,998.0,19.87,46.93,1.4505397072563064,0.14394111433484907,14.789473684210526,3.0075757575757582,1.4510891541151159
Aston Villa,53,52,95,539,0.5149241540256709,6.711266044340724,1690,38,1.394736842105263,1.368421052631579,14.18421052631579,44.473684210526315,26.0,13.0,30.0,507.0,9.92,58.730000000000004,1.0428117668734262,0.09138688799037886,10.18421052631579,1.681818181818182,0.9740809913294959
Bournemouth,56,50,135,592,0.647241594022416,6.984900373599004,1838,38,1.4736842105263157,1.3157894736842106,15.578947368421053,48.36842105263158,28.0,24.0,56.0,815.0,18.76,100.31,1.1431071639247559,0.0862850273163169,14.763157894736842,3.000000000000001,1.1431071639247559
Brentford,53,48,118,572,0.7804596935376416,7.3967355096602265,1747,38,1.394736842105263,1.263157894736842,15.052631578947368,45.973684210526315,30.0,12.0,43.0,667.0,15.149999999999999,75.01,1.1490259826782145,0.08501461017528958,15.342105263157896,3.1666666666666674,1.158601199200533
Brighton,51,49,127,506,0.6682121922626026,6.466869871043376,1733,38,1.3421052631578947,1.2894736842105263,13.31578947368421,45.60526315789474,3.0,3.0,10.0,148.0,2.36,21.26,1.0725480347997778,0.09548173537742244,14.473684210526315,2.916666666666667,1.0680790846547787
Burnley,35,36,51,825,0.3916409623689081,10.273954349167182,1401,38,0.9210526315789473,0.9473684210526315,21.710526315789473,36.86842105263158,,,,,,,0.7092879638949317,0.06189947581830883,19.657894736842106,4.40909090909091,0.7592605249875292
Chelsea,57,55,101,572,0.9882798833819243,7.967397959183674,1695,38,1.5,1.4473684210526316,15.052631578947368,44.60526315789474,30.0,21.0,36.0,608.0,19.28,74.99,1.2953119533527697,0.08198307668358512,13.894736842105265,2.7500000000000013,1.27912055393586
Crystal Palace,40,36,127,562,0.7942167101827676,6.990600522193212,1688,38,1.0526315789473684,0.9473684210526315,14.789473684210526,44.421052631578945,9.0,14.0,47.0,604.0,8.64,80.72,0.9492656314415281,0.08805881584106653,7.81578947368421,1.0,0.8543390682973753
Everton,45,44,124,550,0.6505882352941176,8.792713235294118,1742,38,1.1842105263157894,1.1578947368421053,14.473684210526315,45.8421052631579,12.0,17.0,30.0,480.0,8.620000000000001,66.75,0.9707616099071206,0.07962220819155581,16.5,3.500000000000001,0.9950306501547987
Fulham,43,44,107,561,0.7830079155672823,9.933447669305188,1654,38,1.131578947368421,1.1578947368421053,14.763157894736842,43.526315789473685,10.0,9.0,10.0,248.0,4.05,14.48,0.9921505346479655,0.07464842232916796,15.921052631578947,3.3333333333333335,1.0086863768920982
Leeds,48,44,98,616,0.7854996243425996,8.656063110443275,1701,38,1.263157894736842,1.1578947368421053,16.210526315789473,44.76315789473684,19.0,8.0,15.0,279.0,10.4,29.92,1.0720945865791451,0.07628713528647656,18.81578947368421,4.166666666666668,1.1346334374629286
Liverpool,61,55,117,583,0.8531299353912419,6.977961234745154,1850,38,1.605263157894737,1.4473684210526316,15.342105263157896,48.68421052631579,17.0,13.0,28.0,479.0,7.3100000000000005,56.88,1.3044098688933388,0.08685309863522103,15.052631578947368,3.083333333333334,1.3098449100137277
Man City,75,68,171,387,1.1063991323210414,7.2519667389732465,2098,38,1.9736842105263157,1.7894736842105263,10.18421052631579,55.21052631578947,28.0,16.0,25.0,393.0,18.349999999999998,33.0,1.626770179244206,0.10212035163393768,14.18421052631579,2.833333333333334,1.6132137610838377
Man Utd,66,60,105,550,0.8186003799873337,6.688853704876505,1891,38,1.736842105263158,1.5789473684210527,14.473684210526315,49.76315789473684,39.0,35.0,32.0,691.0,29.09,71.94,1.3695454151528281,0.09079886964793578,13.31578947368421,2.583333333333334,1.3410132190038109
Newcastle,53,42,101,605,0.7609128919860628,6.804348432055749,1704,38,1.394736842105263,1.105263157894737,15.921052631578947,44.8421052631579,9.0,7.0,6.0,154.0,3.83,17.56,1.141207262057583,0.08671226485080918,14.763157894736842,3.000000000000001,1.141207262057583
Nott'm Forest,47,45,104,561,0.6041649196366178,8.185939902166318,1677,38,1.236842105263158,1.1842105263157894,14.763157894736842,44.13157894736842,19.0,9.0,20.0,368.0,8.7,46.05,0.9837712310125418,0.08160824822564614,15.578947368421053,3.2348484848484858,0.995323090164583
Spurs,47,40,103,627,0.47979206049149337,6.972255828607435,1620,38,1.236842105263158,1.0526315789473684,16.5,42.63157894736842,,,,,,,0.9340220873544921,0.08445971880833013,14.473684210526315,2.916666666666667,0.9301303286571817
Sunderland,38,40,121,528,0.3751241036955323,6.280672917815775,1664,38,1.0,1.0526315789473684,13.894736842105264,43.78947368421053,8.0,11.0,29.0,434.0,5.57,60.75,0.750049641478213,0.09522266214848332,15.052631578947368,3.083333333333334,0.7531748483177055
West Ham,44,43,90,715,0.5897689075630252,9.092450980392158,1555,38,1.1578947368421053,1.131578947368421,18.81578947368421,40.921052631578945,12.0,17.0,16.0,322.0,6.58,46.21,0.9306444051304733,0.06991246809581274,16.210526315789473,3.4166666666666674,0.9500328302373583
Wolves,26,25,54,747,0.42295514511873356,7.911193931398417,1273,38,0.6842105263157895,0.6578947368421053,19.657894736842106,33.5,,,,,,,0.579708373836967,0.07393194935061562,21.71052631578947,5.0,0.6376792112206638
