Web name,Team,Position,Cost,Total_Points,Points_per_Million,xGI_per90,Fixture_Adjusted_Value
Guéhi,Crystal Palace,DEF,4.6,29,6.304347826086957,0.045,1.91714469199666
Senesi,Bournemouth,DEF,4.6,28,6.086956521739131,0.0575,1.9013561009041295
Chalobah,Chelsea,DEF,5.1,30,5.882352941176471,0.20502958579881658,1.855215455212294
J.Timber,Arsenal,DEF,5.6,34,6.071428571428572,0.3435114503816794,1.8067012646603184
Calafiori,Arsenal,DEF,5.7,33,5.7894736842105265,0.4515463917525773,1.7760415530859057
Lacroix,Crystal Palace,DEF,5.0,28,5.6,0.055,1.6933177247062712
Van de Ven,Spurs,DEF,4.6,27,5.869565217391305,0.15730659025787966,1.5347957865211304
Rodon,Leeds,DEF,4.0,20,5.0,0.0,1.529951870137405
Livramento,Newcastle,DEF,5.1,25,4.901960784313726,0.065,1.46924610582967
Romero,Spurs,DEF,5.0,27,5.4,0.0075,1.4613093049719887
