Web name,Team,Position,Cost,Total_Points,Points_per_Million,xGI_per90,Fixture_Adjusted_Value
Caicedo,Chelsea,MID,5.5,29,5.2727272727272725,0.1075,1.4681977816909915
Cullen,Burnley,MID,5.0,23,4.6,0.16265060240963855,1.4310937350380293
Semenyo,Bournemouth,MID,7.4,36,4.864864864864865,0.4875,1.377045491211808
Enzo,Chelsea,MID,6.6,29,4.3939393939393945,0.5637931034482759,1.3641508497288568
Anthony,Burnley,MID,5.5,24,4.363636363636363,0.50625,1.3581216435549572
Garner,Everton,MID,5.0,21,4.2,0.0425,1.2636036104613886
L.Paquetá,West Ham,MID,5.9,23,3.8983050847457625,0.37388724035608306,1.23162339325678
Grealish,Everton,MID,6.7,24,3.582089552238806,0.5034965034965035,1.1444808820354455
Tavernier,Bournemouth,MID,5.5,20,3.6363636363636362,0.3090361445783132,1.1404862034701113
Zubimendi,Arsenal,MID,5.5,25,4.545454545454546,0.025,1.1336014307150768
