Web name,Position,Team,Cost,Selected,Form,Home_Goals,Away_Goals,Season_Goals,Home_Assists,Away_Assists,Season_Assists,Total_Saves,Total_CS,Total_Points,Total_team_Goals,Total_team_HGoals,Total_team_AGoals,Total_team_GC,Total_team_HGC,Total_team_AGC,Min/xGI,Min/xGC,BPS/90,Bonus/90,Saves/90,Total_Minutes,Total_BPS,Total_Bonus,Season_xGI,Season_xGC,Recent_Points,Recent_xGI,Recent_xGC,Minutes,Starts,Points_per_Million,xGI_per90,Form_Value,Fixture_Difficulty,Fixture_Adjusted_Value
Haaland,FWD,Man City,14.1,33.3,8.0,2,3,5,0,0,0,0,2,37,8.0,3.0,5.0,4.0,2.0,2.0,81.25,89.8936170212766,39.142011834319526,2.396449704142012,0.0,338,147,9,4.16,3.76,9.25,3.7199999999999998,2.6875,84.5,4,2.624113475177305,1.1076923076923078,0.6294326241134752,1.2956024238918975,0.7460160584679413
Semenyo,MID,Bournemouth,7.4,33.9,7.7,1,2,3,2,0,2,0,2,36,6.0,3.0,3.0,5.0,1.0,4.0,184.6153846153846,125.87412587412588,24.0,1.5,0.0,360,96,6,1.95,2.86,9.0,1.8599999999999999,2.8049999999999997,90.0,4,4.864864864864865,0.4875,1.1635135135135133,1.3295316260920287,1.377045491211808
J.Timber,DEF,Arsenal,5.6,10.2,8.7,2,0,2,1,0,1,0,2,34,10.0,9.0,1.0,2.0,1.0,1.0,262.0,194.07407407407405,37.44274809160305,1.717557251908397,0.0,262,109,5,1.0,1.35,8.5,0.795,1.0975000000000001,65.5,3,6.071428571428572,0.3435114503816794,1.5285714285714285,1.3609180324818118,1.8067012646603184
Henderson,MID,Brentford,5.0,0.3,2.3,0,0,0,1,0,1,6,5,34,7.0,3.0,4.0,12.0,2.0,10.0,15225.0,447.7941176470588,18.47290640394089,0.1477832512315271,0.8866995073891626,609,125,1,0.04,1.36,4.25,0.0175,2.0825,76.125,7,6.8,0.005911330049261084,0.7329999999999999,1.1168162946929303,0.875318682799504
João Pedro,FWD,Chelsea,7.7,65.3,8.7,1,1,2,0,3,3,0,2,33,16.0,9.0,7.0,7.0,4.0,3.0,220.0,140.4255319148936,36.0,2.1818181818181817,0.0,330,132,8,1.5,2.35,8.25,1.0725,1.835,82.5,4,4.285714285714286,0.4090909090909091,1.088961038961039,1.1972356689743435,1.2960141488029229
Calafiori,DEF,Arsenal,5.7,12.8,9.3,0,1,1,2,0,2,0,3,33,10.0,9.0,1.0,2.0,1.0,1.0,199.31506849315068,186.53846153846152,29.690721649484537,0.9278350515463918,0.0,291,96,3,1.46,1.56,8.25,1.2925,1.2825,72.75,4,5.7894736842105265,0.4515463917525773,1.5026315789473683,1.3609180324818118,1.7760415530859057
Chalobah,DEF,Chelsea,5.1,7.8,9.0,0,1,1,1,0,1,0,2,30,16.0,9.0,7.0,7.0,4.0,3.0,438.9610389610389,171.5736040609137,28.49112426035503,0.5325443786982249,0.0,338,107,2,0.77,1.97,7.5,0.605,1.7449999999999999,84.5,4,5.882352941176471,0.20502958579881658,1.5588235294117647,1.1972356689743435,1.855215455212294
Vicario,GKP,Spurs,5.0,9.3,7.0,0,0,0,0,0,0,17,3,29,8.0,3.0,5.0,1.0,1.0,0.0,36000.0,88.23529411764706,32.0,1.25,4.25,360,128,5,0.01,4.08,7.25,0.0075,3.0475,90.0,4,5.8,0.0025,1.4349999999999998,1.5251517273576098,1.6843203635620914
Caicedo,MID,Chelsea,5.5,6.9,5.7,0,2,2,0,0,0,0,2,29,16.0,9.0,7.0,7.0,4.0,3.0,837.2093023255815,149.37759336099583,27.5,1.0,0.0,360,110,4,0.43,2.41,7.25,0.355,2.075,90.0,4,5.2727272727272725,0.1075,1.2336363636363634,1.1972356689743435,1.4681977816909915
Guéhi,DEF,Crystal Palace,4.6,18.8,7.7,0,1,1,0,0,0,0,3,29,4.0,1.0,3.0,1.0,1.0,0.0,2000.0,98.36065573770492,25.25,0.75,0.0,360,101,3,0.18,3.66,7.25,0.13,2.9524999999999997,90.0,4,6.304347826086957,0.045,1.6054347826086957,1.1168162946929303,1.91714469199666
