Web name,Team,Position,Cost,Total_Points,Points_per_Million,xGI_per90,Base_Form_Value,Tuned_Score
Guéhi,Crystal Palace,DEF,4.6,29,6.304347826086957,0.045,1.615217391304348,2.0471749832040826
J.Timber,Arsenal,DEF,5.6,34,6.071428571428572,0.3435114503816794,1.5321428571428573,2.0321428571428575
Calafiori,Arsenal,DEF,5.7,33,5.7894736842105265,0.4515463917525773,1.5210526315789477,2.0210526315789474
Chalobah,Chelsea,DEF,5.1,30,5.882352941176471,0.20502958579881658,1.5882352941176472,1.8575616609129526
Vicario,Spurs,GKP,5.0,29,5.8,0.0025,1.4300000000000002,1.856254903394953
Lacroix,Crystal Palace,DEF,5.0,28,5.6,0.055,1.424,1.8559575918997346
Enzo,Chelsea,MID,6.6,29,4.3939393939393945,0.5637931034482759,1.162121212121212,1.7371532395300586
Roefs,Sunderland,GKP,4.5,27,6.0,0.0,1.4066666666666667,1.713805232494271
Van de Ven,Spurs,DEF,4.6,27,5.869565217391305,0.15730659025787966,1.2543478260869565,1.6806027294819095
Pope,Newcastle,GKP,5.0,26,5.2,0.0,1.2600000000000002,1.6613850518139273
Richards,Crystal Palace,DEF,4.5,22,4.888888888888889,0.0325,1.2044444444444444,1.6364020363441791
Romero,Spurs,DEF,5.0,27,5.4,0.0075,1.21,1.6362549033949527
Livramento,Newcastle,DEF,5.1,25,4.901960784313726,0.065,1.2294117647058824,1.6307968165198095
João Pedro,Chelsea,FWD,7.7,33,4.285714285714286,0.4090909090909091,1.0948051948051947,1.6069894557563607
Caicedo,Chelsea,MID,5.5,29,5.2727272727272725,0.1075,1.2054545454545453,1.5951174995875297
Raya,Arsenal,GKP,5.5,24,4.363636363636363,0.005,1.0909090909090908,1.5909090909090908
Burn,Newcastle,DEF,5.0,23,4.6,0.025,1.1460000000000001,1.5473850518139272
Muñoz,Crystal Palace,DEF,5.6,24,4.285714285714286,0.2125,1.0928571428571427,1.5248147347568775
Mitchell,Crystal Palace,DEF,5.0,22,4.4,0.0275,1.084,1.5159575918997348
Schär,Newcastle,DEF,5.5,23,4.181818181818182,0.030857142857142857,0.9909090909090907,1.3922941427230178
Haaland,Man City,FWD,14.1,37,2.624113475177305,1.1076923076923078,0.6205673758865249,1.380118263456443
Trippier,Newcastle,DEF,5.0,21,4.2,0.04556962025316456,0.974,1.375385051813927
Gabriel,Arsenal,DEF,6.1,23,3.7704918032786887,0.02,0.8737704918032787,1.3737704918032787
Pedro Porro,Spurs,DEF,5.6,21,3.7500000000000004,0.13764705882352943,0.9196428571428573,1.3458977605378102
Sánchez,Chelsea,GKP,5.0,19,3.8,0.0,1.0260000000000002,1.2953263667953057
Richarlison,Spurs,FWD,6.7,20,2.9850746268656714,0.35369649805447473,0.8238805970149253,1.2947780271665383
Zubimendi,Arsenal,MID,5.5,25,4.545454545454546,0.025,0.9,1.26015625
Ekitiké,Liverpool,FWD,8.8,24,2.727272727272727,0.4304347826086956,0.7409090909090909,1.2566209754589743
Gakpo,Liverpool,MID,7.7,23,2.987012987012987,0.2075,0.7961038961038961,1.221248525218997
P.M.Sarr,Spurs,MID,5.0,19,3.8,0.06782608695652174,0.866,1.2207625756430696
Szoboszlai,Liverpool,MID,6.5,20,3.076923076923077,0.0625,0.8123076923076924,1.1785460714227933
Cucurella,Chelsea,DEF,6.1,20,3.278688524590164,0.17201365187713313,0.9049180327868852,1.1742443995821907
Gyökeres,Arsenal,FWD,9.0,20,2.2222222222222223,0.45,0.5422222222222222,1.075034722222222
Virgil,Liverpool,DEF,6.0,22,3.6666666666666665,0.0525,0.8633333333333333,1.0560617945993236
M.Salah,Liverpool,MID,14.5,25,1.7241379310344827,0.165,0.4048275862068966,0.8127065903219974
Johnson,Sunderland,DEF,4.0,19,4.75,0.0,0.35625,0.6633885658276042
