Web name,Team,Position,Cost,Total_Points,Points_per_Million,xGI_per90,Base_Form_Value,Tuned_Score
Guéhi,Crystal Palace,DEF,4.6,29,6.304347826086957,0.045,1.615217391304348,2.0471749832040826
J.Timber,Arsenal,DEF,5.6,34,6.071428571428572,0.3435114503816794,1.5321428571428573,2.0321428571428575
Calafiori,Arsenal,DEF,5.7,33,5.7894736842105265,0.4515463917525773,1.5210526315789477,2.0210526315789474
Chalobah,Chelsea,DEF,5.1,30,5.882352941176471,0.20502958579881658,1.5882352941176472,1.8575616609129526
Lacroix,Crystal Palace,DEF,5.0,28,5.6,0.055,1.424,1.8559575918997346
Van de Ven,Spurs,DEF,4.6,27,5.869565217391305,0.15730659025787966,1.2543478260869565,1.6806027294819095
Richards,Crystal Palace,DEF,4.5,22,4.888888888888889,0.0325,1.2044444444444444,1.6364020363441791
Romero,Spurs,DEF,5.0,27,5.4,0.0075,1.21,1.6362549033949527
Livramento,Newcastle,DEF,5.1,25,4.901960784313726,0.065,1.2294117647058824,1.6307968165198095
Burn,Newcastle,DEF,5.0,23,4.6,0.025,1.1460000000000001,1.5473850518139272
Muñoz,Crystal Palace,DEF,5.6,24,4.285714285714286,0.2125,1.0928571428571427,1.5248147347568775
Mitchell,Crystal Palace,DEF,5.0,22,4.4,0.0275,1.084,1.5159575918997348
Schär,Newcastle,DEF,5.5,23,4.181818181818182,0.030857142857142857,0.9909090909090907,1.3922941427230178
Trippier,Newcastle,DEF,5.0,21,4.2,0.04556962025316456,0.974,1.375385051813927
Gabriel,Arsenal,DEF,6.1,23,3.7704918032786887,0.02,0.8737704918032787,1.3737704918032787
Pedro Porro,Spurs,DEF,5.6,21,3.7500000000000004,0.13764705882352943,0.9196428571428573,1.3458977605378102
Cucurella,Chelsea,DEF,6.1,20,3.278688524590164,0.17201365187713313,0.9049180327868852,1.1742443995821907
Virgil,Liverpool,DEF,6.0,22,3.6666666666666665,0.0525,0.8633333333333333,1.0560617945993236
Johnson,Sunderland,DEF,4.0,19,4.75,0.0,0.35625,0.6633885658276042
