Web name,Position,Team,Cost,Selected,Form,Status,Minutes,Goals,Assist,Saves,GC,Season Goals,Season Assists,xA,xG,xGI,xGC,CS,OGs,Pens Missed,Pens Saved,Yellow cards,Red cards,Starts,Was home,Team H Score,Team A Score,Opponent Team,Influence,Creativity,Threat,ICT Index,Bps,GW Points,Transfers In,Transfers Out,Next Fixture,GW
Raya,GKP,Arsenal,5.5,19.8,0.0,a,0,0,0,0,0,0,0,0.03,0.0,0.03,35.03,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Arrizabalaga,GKP,Arsenal,4.5,0.8,0.0,a,0,0,0,0,0,0,0,0.03,0.06,0.09,38.83,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Hein,GKP,Arsenal,4.0,0.9,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Setford,GKP,Arsenal,4.0,0.4,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Gabriel,DEF,Arsenal,6.0,30.4,0.0,a,0,0,0,0,0,3,2,1.21,2.7,3.91,23.09,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Saliba,DEF,Arsenal,6.0,18.8,0.0,a,0,0,0,0,0,2,0,1.28,2.42,3.7,30.32,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Calafiori,DEF,Arsenal,5.5,0.3,0.0,a,0,0,0,0,0,2,1,0.69,0.86,1.55,10.28,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
J.Timber,DEF,Arsenal,5.5,2.5,0.0,a,0,0,0,0,0,1,3,1.3,1.23,2.53,21.09,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Kiwior,DEF,Arsenal,5.5,0.1,0.0,a,0,0,0,0,0,1,0,0.29,0.17,0.46,14.71,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Lewis-Skelly,DEF,Arsenal,5.5,5.8,0.0,a,0,0,0,0,0,1,0,0.51,0.16,0.67,16.65,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
White,DEF,Arsenal,5.5,0.5,0.0,a,0,0,0,0,0,0,2,1.3,0.46,1.76,16.88,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Zinchenko,DEF,Arsenal,5.0,0.3,0.0,a,0,0,0,0,0,0,1,0.52,0.65,1.17,3.21,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Clarke,DEF,Arsenal,4.0,1.1,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Kacurri,DEF,Arsenal,4.0,0.7,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Nichols,DEF,Arsenal,4.0,0.7,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Saka,MID,Arsenal,10.0,16.9,0.0,a,0,0,0,0,0,6,11,7.78,6.87,14.65,17.72,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Ødegaard,MID,Arsenal,8.0,4.2,0.0,a,0,0,0,0,0,3,9,6.68,4.85,11.53,22.16,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Madueke,MID,Arsenal,7.0,6.0,0.0,a,0,0,0,0,0,7,5,2.86,9.62,12.48,29.55,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Martinelli,MID,Arsenal,7.0,5.2,0.0,a,0,0,0,0,0,8,4,4.46,7.13,11.59,26.22,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Trossard,MID,Arsenal,7.0,5.2,0.0,a,0,0,0,0,0,8,8,4.12,6.74,10.86,24.76,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Rice,MID,Arsenal,6.5,4.5,0.0,a,0,0,0,0,0,4,7,5.64,3.51,9.14,27.13,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Merino,MID,Arsenal,6.0,0.7,0.0,a,0,0,0,0,0,7,2,1.18,5.75,6.93,15.71,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Fábio Vieira,MID,Arsenal,5.5,0.1,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Nørgaard,MID,Arsenal,5.5,0.5,0.0,a,0,0,0,0,0,5,5,1.38,4.23,5.61,44.54,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Nwaneri,MID,Arsenal,5.5,0.6,0.0,a,0,0,0,0,0,4,2,1.78,1.19,2.97,5.38,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Zubimendi,MID,Arsenal,5.5,1.3,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Nelson,MID,Arsenal,5.0,0.3,0.0,a,0,0,0,0,0,1,1,0.96,1.07,2.03,6.13,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Kabia,MID,Arsenal,4.5,0.6,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Sambi,MID,Arsenal,4.5,0.2,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Havertz,FWD,Arsenal,7.5,3.2,0.0,a,0,0,0,0,0,9,3,1.65,9.53,11.18,19.32,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
G.Jesus,FWD,Arsenal,6.5,0.0,0.0,i,0,0,0,0,0,3,2,0.52,3.05,3.57,5.82,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Man Utd (Home),1
Martinez,GKP,Aston Villa,5.0,0.2,0.0,s,0,0,0,0,0,0,0,0.02,0.0,0.02,44.99,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Newcastle (Away),1
M.Bizot,GKP,Aston Villa,4.5,0.5,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Newcastle (Away),1
Gauci,GKP,Aston Villa,4.0,1.0,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Newcastle (Away),1
Marschall,GKP,Aston Villa,4.0,0.5,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Newcastle (Away),1
Cash,DEF,Aston Villa,4.5,1.5,0.0,a,0,0,0,0,0,1,1,1.23,0.48,1.71,28.64,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Newcastle (Away),1
Digne,DEF,Aston Villa,4.5,1.4,0.0,a,0,0,0,0,0,0,5,3.97,0.8,4.77,34.94,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Newcastle (Away),1
Konsa,DEF,Aston Villa,4.5,14.1,0.0,a,0,0,0,0,0,2,0,0.61,1.29,1.9,43.82,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Newcastle (Away),1
Maatsen,DEF,Aston Villa,4.5,1.2,0.0,a,0,0,0,0,0,1,2,2.43,0.87,3.3,17.31,0,0,0,0,0,0,0,False,,,,0.0,0.0,0.0,0.0,0,0,0,0,Newcastle (Away),1
