Web name,Position,Team,Cost,Selected,Form,Home_Goals,Away_Goals,Season_Goals,Home_Assists,Away_Assists,Season_Assists,Total_Saves,Total_CS,Total_Points,Total_team_Goals,Total_team_HGoals,Total_team_AGoals,Total_team_GC,Total_team_HGC,Total_team_AGC,Min/xGI,Min/xGC,BPS/90,Bonus/90,Saves/90,Total_Minutes,Total_BPS,Total_Bonus,Season_xGI,Season_xGC,Recent_Points,Recent_xGI,Recent_xGC,Recent_Minutes,Recent_Starts,Points_per_Million,xGI_per90,Base_Form_Value,xGI_norm,Team_Attack_Norm,Team_Defence_Norm,Tuned_Score
Vicario,GKP,Spurs,5.0,9.3,7.0,0,0,0,0,0,0,17,3,29,8.0,3.0,5.0,1.0,1.0,0.0,36000.0,88.23529411764706,32.0,1.25,4.25,360,128,5,0.01,4.08,7.25,0.0075,3.0475,90.0,4,5.8,0.0025,1.4300000000000002,0.0022569444444444442,0.9348806509056645,0.8525098067899057,1.856254903394953
Roefs,GKP,Sunderland,4.5,1.4,5.7,0,0,0,0,0,0,13,2,27,5.0,5.0,0.0,3.0,1.0,2.0,,130.43478260869566,23.25,1.0,3.25,360,93,4,0.0,2.76,6.75,0.0,2.3525,90.0,4,6.0,0.0,1.4066666666666667,0.0,0.4690413710848622,0.6142771316552084,1.713805232494271
Guéhi,DEF,Crystal Palace,4.6,18.8,7.7,0,1,1,0,0,0,0,3,29,4.0,1.0,3.0,1.0,1.0,0.0,2000.0,98.36065573770492,25.25,0.75,0.0,360,101,3,0.18,3.66,7.25,0.13,2.9524999999999997,90.0,4,6.304347826086957,0.045,1.615217391304348,0.040624999999999994,0.4025106014321889,0.8639151837994695,2.0471749832040826
J.Timber,DEF,Arsenal,5.6,10.2,8.7,2,0,2,1,0,1,0,2,34,10.0,9.0,1.0,2.0,1.0,1.0,262.0,194.07407407407405,37.44274809160305,1.717557251908397,0.0,262,109,5,1.0,1.35,8.5,0.795,1.0975000000000001,65.5,3,6.071428571428572,0.3435114503816794,1.5321428571428573,0.3101145038167939,1.0,1.0,2.0321428571428575
Calafiori,DEF,Arsenal,5.7,12.8,9.3,0,1,1,2,0,2,0,3,33,10.0,9.0,1.0,2.0,1.0,1.0,199.31506849315068,186.53846153846152,29.690721649484537,0.9278350515463918,0.0,291,96,3,1.46,1.56,8.25,1.2925,1.2825,72.75,4,5.7894736842105265,0.4515463917525773,1.5210526315789477,0.40764604810996563,1.0,1.0,2.0210526315789474
Chalobah,DEF,Chelsea,5.1,7.8,9.0,0,1,1,1,0,1,0,2,30,16.0,9.0,7.0,7.0,4.0,3.0,438.9610389610389,171.5736040609137,28.49112426035503,0.5325443786982249,0.0,338,107,2,0.77,1.97,7.5,0.605,1.7449999999999999,84.5,4,5.882352941176471,0.20502958579881658,1.5882352941176472,0.18509615384615385,0.9885459403799549,0.5386527335906109,1.8575616609129526
Lacroix,DEF,Crystal Palace,5.0,3.1,7.3,0,0,0,0,1,1,0,3,28,4.0,1.0,3.0,1.0,1.0,0.0,1636.3636363636365,98.36065573770492,26.25,0.5,0.0,360,105,2,0.22,3.66,7.0,0.14,2.9524999999999997,90.0,4,5.6,0.055,1.424,0.049652777777777775,0.4025106014321889,0.8639151837994695,1.8559575918997346
Enzo,MID,Chelsea,6.6,11.9,8.3,1,1,2,1,1,2,0,2,29,16.0,9.0,7.0,7.0,4.0,3.0,159.63302752293578,147.45762711864407,25.86206896551724,0.2586206896551724,0.0,348,100,1,2.18,2.36,7.25,1.445,2.025,87.0,4,4.3939393939393945,0.5637931034482759,1.162121212121212,0.5089798850574713,0.9885459403799549,0.5386527335906109,1.7371532395300586
Caicedo,MID,Chelsea,5.5,6.9,5.7,0,2,2,0,0,0,0,2,29,16.0,9.0,7.0,7.0,4.0,3.0,837.2093023255815,149.37759336099583,27.5,1.0,0.0,360,110,4,0.43,2.41,7.25,0.355,2.075,90.0,4,5.2727272727272725,0.1075,1.2054545454545453,0.0970486111111111,0.9885459403799549,0.5386527335906109,1.5951174995875297
Semenyo,MID,Bournemouth,7.4,33.9,7.7,1,2,3,2,0,2,0,2,36,6.0,3.0,3.0,5.0,1.0,4.0,184.6153846153846,125.87412587412588,24.0,1.5,0.0,360,96,6,1.95,2.86,9.0,1.8599999999999999,2.8049999999999997,90.0,4,4.864864864864865,0.4875,1.145945945945946,0.44010416666666663,0.6411056689066511,0.360917362546768,1.5683798050632738
Anthony,MID,Burnley,5.5,0.9,7.0,1,1,2,1,0,1,0,2,24,4.0,2.0,2.0,7.0,1.0,6.0,177.77777777777777,52.38095238095238,19.176136363636363,0.5113636363636364,0.0,352,75,2,1.98,6.72,6.0,1.615,5.09,88.0,4,4.363636363636363,0.50625,1.1636363636363638,0.45703124999999994,0.40373790227016615,0.04471444388780381,1.5106086919309218
Cullen,MID,Burnley,5.0,1.9,6.7,1,0,1,1,0,1,0,2,23,4.0,2.0,2.0,7.0,1.0,6.0,553.3333333333334,49.40476190476191,24.126506024096383,0.8132530120481928,0.0,332,89,3,0.6,6.72,5.75,0.5075000000000001,5.015,83.0,4,4.6,0.16265060240963855,1.226,0.14683734939759036,0.40373790227016615,0.04471444388780381,1.4333850730234738
João Pedro,FWD,Chelsea,7.7,65.3,8.7,1,1,2,0,3,3,0,2,33,16.0,9.0,7.0,7.0,4.0,3.0,220.0,140.4255319148936,36.0,2.1818181818181817,0.0,330,132,8,1.5,2.35,8.25,1.0725,1.835,82.5,4,4.285714285714286,0.4090909090909091,1.0948051948051947,0.3693181818181818,0.9885459403799549,0.5386527335906109,1.6069894557563607
Haaland,FWD,Man City,14.1,33.3,8.0,2,3,5,0,0,0,0,2,37,8.0,3.0,5.0,4.0,2.0,2.0,81.25,89.8936170212766,39.142011834319526,2.396449704142012,0.0,338,147,9,4.16,3.76,9.25,3.7199999999999998,2.6875,84.5,4,2.624113475177305,1.1076923076923078,0.6205673758865249,1.0,0.8844311073426234,0.30162662032217397,1.380118263456443
Richarlison,FWD,Spurs,6.7,14.1,6.3,2,0,2,0,1,1,0,2,20,8.0,3.0,5.0,1.0,1.0,0.0,254.4554455445545,66.75324675324676,31.51750972762646,1.050583657587549,0.0,257,90,3,1.01,3.85,5.0,0.9525,2.7125,64.25,3,2.9850746268656714,0.35369649805447473,0.8238805970149253,0.31930933852140075,0.9348806509056645,0.8525098067899057,1.2947780271665383
