Web name,Position,Team,Cost,Selected,Form,Home_Goals,Away_Goals,Season_Goals,Home_Assists,Away_Assists,Season_Assists,Total_Saves,Total_CS,Total_Points,Total_team_Goals,Total_team_HGoals,Total_team_AGoals,Total_team_GC,Total_team_HGC,Total_team_AGC,Min/xGI,Min/xGC,BPS/90,Bonus/90,Saves/90,Total_Minutes,Total_BPS,Total_Bonus,Season_xGI,Season_xGC
Haaland,FWD,Man City,14.2,37.1,8.0,13,9,22,2,4,6,0,10,187,58.0,35.0,23.0,28.0,10.0,18.0,358.9614740368509,413.7065637065637,31.791880541297246,1.4279048063462436,0.0,2143,757,34,5.97,5.18
Wilson,MID,Fulham,5.4,0.5,1.0,7,6,8,3,5,6,0,7,182,37.0,24.0,13.0,40.0,16.0,24.0,7888.88888888889,1140.5622489959837,21.929577464788732,0.7288732394366197,0.0,2840,692,23,0.36,2.49
Henderson,MID,Brentford,5.0,0.3,4.0,1,0,1,3,0,3,67,13,155,42.0,24.0,18.0,40.0,13.0,27.0,54699.99999999999,1467.049808429119,15.748237137633847,0.2115434839383651,1.5748237137633847,3829,670,9,0.07,2.61
Semenyo,MID,Bournemouth,7.6,43.9,7.0,7,6,13,4,2,6,0,7,153,43.0,20.0,23.0,45.0,14.0,31.0,781.25,646.551724137931,19.6,0.68,0.0,2250,490,17,2.88,3.48
Rice,MID,Arsenal,6.5,8.5,3.7,1,3,4,4,4,8,0,12,148,51.0,32.0,19.0,19.0,9.0,10.0,2692.7710843373497,1221.311475409836,25.08724832214765,0.8456375838926175,0.0,2235,623,21,0.83,1.83
B.Fernandes,MID,Man Utd,9.0,18.4,4.7,4,2,6,4,8,12,0,3,143,47.0,25.0,22.0,37.0,15.0,22.0,703.9007092198582,292.34167893961705,28.6095717884131,1.1335012594458438,0.0,1985,631,25,2.82,6.79
Gabriel,DEF,Arsenal,6.1,21.9,5.7,1,2,3,0,3,3,0,12,142,51.0,32.0,19.0,19.0,9.0,10.0,6224.137931034483,748.9626556016597,24.132963988919666,0.8975069252077562,0.0,1805,484,18,0.29,2.41
Bruno G.,MID,Newcastle,6.5,2.4,3.7,8,1,9,5,1,6,0,6,134,38.0,24.0,14.0,39.0,20.0,19.0,4295.744680851064,966.0287081339713,26.032689450222882,0.8469539375928677,0.0,2019,584,19,0.47,2.09
Thiago,FWD,Brentford,6.0,1.8,3.0,9,8,17,1,0,1,0,6,133,42.0,24.0,18.0,40.0,13.0,27.0,1572.857142857143,410.820895522388,21.743869209809265,0.7356948228882834,0.0,2202,532,18,1.4,5.36
João Pedro,FWD,Chelsea,7.8,67.3,10.3,6,4,10,2,6,8,0,9,132,54.0,29.0,25.0,34.0,19.0,15.0,1129.940119760479,616.6666666666666,25.23052464228935,1.1446740858505564,0.0,1887,529,24,1.67,3.06
Martinez,GKP,Aston Villa,5.0,2.2,2.7,0,0,0,0,0,0,65,9,131,43.0,23.0,20.0,29.0,12.0,17.0,283900.0,862.9179331306991,17.594223318069744,0.4121169425854174,2.060584712927087,2839,555,13,0.01,3.29
Rogers,MID,Aston Villa,7.0,7.9,2.3,2,6,8,3,2,5,0,8,125,43.0,23.0,20.0,29.0,12.0,17.0,5148.888888888889,313.531799729364,16.819162710401383,0.5049633146309883,0.0,2317,433,13,0.45,7.39
Guéhi,DEF,Crystal Palace,4.7,23.4,7.7,0,2,2,2,2,4,0,9,124,28.0,13.0,15.0,35.0,21.0,14.0,9818.181818181818,537.313432835821,18.958333333333332,0.375,0.0,2160,455,9,0.22,4.02
J.Timber,DEF,Arsenal,5.7,12.5,11.3,2,0,2,4,0,4,0,12,124,51.0,32.0,19.0,19.0,9.0,10.0,1650.7575757575758,1405.8064516129032,18.87563102340523,0.289123451124369,0.0,2179,457,7,1.32,1.55
Chalobah,DEF,Chelsea,5.1,8.7,8.0,1,2,3,1,0,1,0,9,124,54.0,29.0,25.0,34.0,19.0,15.0,2009.1743119266055,644.1176470588235,18.493150684931507,0.2876712328767123,0.0,2190,450,7,1.09,3.4
Bowen,FWD,West Ham,7.7,6.5,4.3,4,4,8,2,2,4,0,3,120,36.0,21.0,15.0,51.0,29.0,22.0,3583.076923076923,428.12499999999994,18.085015027908973,0.8115070845856591,0.0,2329,468,21,0.65,5.44
Enzo,MID,Chelsea,6.7,13.5,8.7,4,4,8,2,1,3,0,8,118,54.0,29.0,25.0,34.0,19.0,15.0,912.3404255319149,565.6992084432718,20.988805970149254,0.5876865671641791,0.0,2144,500,14,2.35,3.79
Tarkowski,DEF,Everton,5.5,6.9,6.3,0,0,0,1,0,1,0,9,117,32.0,19.0,13.0,36.0,24.0,12.0,9360.0,380.48780487804873,16.153846153846153,0.23076923076923078,0.0,2340,420,6,0.25,6.15
Lacroix,DEF,Crystal Palace,5.1,4.4,6.7,0,0,0,0,2,2,0,9,116,28.0,13.0,15.0,35.0,21.0,14.0,9750.0,582.089552238806,15.961538461538462,0.2692307692307692,0.0,2340,415,7,0.24,4.02
Matheus N.,DEF,Man City,5.3,0.3,0.7,1,0,1,5,2,7,0,8,115,58.0,35.0,23.0,28.0,10.0,18.0,95200.0,1360.0,22.452731092436974,0.6617647058823529,0.0,1904,475,14,0.02,1.4
Mukiele,DEF,Sunderland,4.0,0.7,4.7,1,0,1,4,1,5,0,7,114,27.0,21.0,6.0,30.0,10.0,20.0,17933.333333333336,724.5791245791245,16.477695167286246,0.3345724907063197,0.0,2152,394,8,0.12,2.97
Saka,MID,Arsenal,9.8,3.6,2.0,3,2,5,4,3,7,0,8,114,51.0,32.0,19.0,19.0,9.0,10.0,4302.631578947368,967.4556213017752,23.834862385321102,0.7155963302752294,0.0,1635,433,13,0.38,1.69
Anderson,MID,Nott'm Forest,5.5,5.2,2.7,1,0,1,1,2,3,0,6,113,31.0,13.0,18.0,41.0,18.0,23.0,2659.090909090909,341.1078717201166,20.0,0.2692307692307692,0.0,2340,520,7,0.88,6.86
James,DEF,Chelsea,5.4,4.4,1.0,0,2,2,3,2,5,0,8,112,54.0,29.0,25.0,34.0,19.0,15.0,4528.571428571428,731.5384615384615,21.67192429022082,0.42586750788643535,0.0,1902,458,9,0.42,2.6
Virgil,DEF,Liverpool,6.1,29.5,6.3,0,2,2,0,0,0,0,8,111,41.0,21.0,20.0,35.0,14.0,21.0,8666.666666666666,720.0,15.307692307692308,0.2692307692307692,0.0,2340,398,7,0.27,3.25
Garner,MID,Everton,5.0,0.5,6.3,1,1,2,1,2,3,0,9,111,32.0,19.0,13.0,36.0,24.0,12.0,4166.071428571428,379.3495934959349,21.795970852978996,0.42434633519074155,0.0,2333,565,11,0.56,6.15
Gravenberch,MID,Liverpool,5.5,0.8,4.0,3,1,4,2,2,4,0,8,111,41.0,21.0,20.0,35.0,14.0,21.0,7303.44827586207,1366.4516129032259,21.41643059490085,0.5524079320113314,0.0,2118,504,13,0.29,1.55
Casemiro,MID,Man Utd,5.5,0.2,2.0,4,1,5,4,0,4,0,7,110,47.0,25.0,22.0,37.0,15.0,22.0,2535.2941176470586,510.05917159763317,21.612529002320187,0.7308584686774942,0.0,1724,414,14,0.68,3.38
Raya,GKP,Arsenal,5.5,23.3,4.7,0,0,0,0,0,0,37,13,109,51.0,32.0,19.0,19.0,9.0,10.0,121500.0,1008.2987551867219,16.0,0.18518518518518517,1.3703703703703705,2430,432,5,0.02,2.41
Mbeumo,MID,Man Utd,8.1,15.3,4.7,5,4,9,1,1,2,0,4,109,47.0,25.0,22.0,37.0,15.0,22.0,613.2203389830509,266.42120765832107,19.950248756218905,0.746268656716418,0.0,1809,401,15,2.95,6.79
Pickford,GKP,Everton,5.5,11.4,7.3,0,0,0,0,0,0,71,9,108,32.0,19.0,13.0,36.0,24.0,12.0,234000.0,380.48780487804873,16.23076923076923,0.4230769230769231,2.730769230769231,2340,422,11,0.01,6.15
Foden,MID,Man City,8.0,2.5,4.3,4,3,7,3,0,3,0,10,108,58.0,35.0,23.0,28.0,10.0,18.0,3358.823529411765,916.0427807486631,24.430823117338004,0.5253940455341506,0.0,1713,465,10,0.51,1.87
Roefs,GKP,Sunderland,4.5,2.1,6.3,0,0,0,0,0,0,80,8,107,27.0,21.0,6.0,30.0,10.0,20.0,,516.5562913907285,17.846153846153847,0.34615384615384615,3.076923076923077,2340,464,9,0.0,4.53
Zubimendi,MID,Arsenal,5.4,3.7,6.7,4,1,5,0,1,1,0,13,107,51.0,32.0,19.0,19.0,9.0,10.0,7810.344827586207,939.8340248962655,19.271523178807946,0.3576158940397351,0.0,2265,485,9,0.29,2.41
Senesi,DEF,Bournemouth,4.7,10.4,8.7,0,0,0,2,2,4,0,6,106,43.0,20.0,23.0,45.0,14.0,31.0,8492.307692307691,634.4827586206897,14.021739130434783,0.24456521739130435,0.0,2208,344,6,0.26,3.48
Ekitiké,FWD,Liverpool,8.8,28.0,4.3,6,4,10,2,0,2,0,6,104,41.0,21.0,20.0,35.0,14.0,21.0,949.0566037735848,540.8602150537635,21.59045725646123,1.1332007952286283,0.0,1509,362,19,1.59,2.79
Keane,DEF,Everton,4.5,0.7,5.7,3,0,3,0,0,0,0,6,103,32.0,19.0,13.0,36.0,24.0,12.0,3095.0,301.9512195121951,14.975767366720516,0.3877221324717286,0.0,1857,309,8,0.6,6.15
Gibbs-White,MID,Nott'm Forest,7.5,5.3,2.0,3,3,6,1,1,2,0,6,103,31.0,13.0,18.0,41.0,18.0,23.0,1920.0000000000002,326.14475627769576,16.671195652173914,0.32608695652173914,0.0,2208,409,8,1.15,6.77
Rúben,DEF,Man City,5.5,3.9,2.7,1,1,2,0,0,0,0,11,102,58.0,35.0,23.0,28.0,10.0,18.0,18240.0,425.1748251748252,20.082236842105264,0.14802631578947367,0.0,1824,407,3,0.1,4.29
Calvert-Lewin,FWD,Leeds,5.5,0.2,1.0,5,5,10,0,2,2,0,4,102,37.0,22.0,15.0,47.0,18.0,29.0,3959.5238095238096,8752.631578947368,17.967528562838243,0.8659049909801564,0.0,1663,332,16,0.42,0.19
Wirtz,MID,Liverpool,8.3,16.7,2.7,3,1,4,2,1,3,0,8,100,41.0,21.0,20.0,35.0,14.0,21.0,1528.9256198347107,614.6179401993356,20.043243243243243,0.7783783783783784,0.0,1850,412,16,1.21,3.01
Van de Ven,DEF,Spurs,4.7,32.5,7.0,0,4,4,1,0,1,0,7,100,36.0,16.0,20.0,37.0,18.0,19.0,3070.0,459.18803418803424,15.202419730107026,0.41879944160074456,0.0,2149,363,10,0.7,4.68
Cash,DEF,Aston Villa,4.5,5.0,2.3,2,1,3,1,1,2,0,7,99,43.0,23.0,20.0,29.0,12.0,17.0,4348.9795918367345,328.3513097072419,15.499765368371657,0.25340215861098075,0.0,2131,367,6,0.49,6.49
Neto,GKP,Bournemouth,4.5,0.1,0.0,1,4,5,2,2,4,0,10,99,43.0,20.0,23.0,45.0,14.0,31.0,,,19.34409687184662,0.272452068617558,0.0,1982,426,6,0.0,0.0
Konaté,DEF,Liverpool,5.5,3.3,5.0,1,0,1,0,0,0,0,8,99,41.0,21.0,20.0,35.0,14.0,21.0,3901.8181818181815,679.1139240506329,15.894687791239516,0.293569431500466,0.0,2146,379,7,0.55,3.16
Muñoz,DEF,Crystal Palace,5.6,14.2,6.3,0,3,3,3,0,3,0,8,98,28.0,13.0,15.0,35.0,21.0,14.0,1332.7731092436975,394.52736318407966,19.350567465321564,0.39722572509457754,0.0,1586,341,7,1.19,4.02
Aaronson,MID,Leeds,5.4,0.1,2.3,2,2,4,4,2,6,0,6,98,37.0,22.0,15.0,47.0,18.0,29.0,2295.8333333333335,966.6666666666667,18.67513611615245,0.27223230490018147,0.0,1653,343,5,0.72,1.71
Stach,MID,Leeds,5.0,0.5,2.0,2,1,3,4,2,6,0,3,97,37.0,22.0,15.0,47.0,18.0,29.0,1659.8039215686274,357.1729957805907,20.945067926757236,0.42528056704075606,0.0,1693,394,8,1.02,4.74
Thiaw,DEF,Newcastle,4.9,0.1,0.3,1,3,4,0,0,0,0,4,97,38.0,24.0,14.0,39.0,20.0,19.0,,5235.135135135135,14.72896231285493,0.5110996386164172,0.0,1937,317,11,0.0,0.37
Ballard,DEF,Sunderland,4.6,2.8,0.3,2,0,2,1,0,1,0,5,97,27.0,21.0,6.0,30.0,10.0,20.0,4641.666666666667,2983.928571428571,15.99640933572711,0.43087971274685816,0.0,1671,297,8,0.36,0.56
