Web name,Position,Team,Cost,Selected,Form,Home_Goals,Away_Goals,Season_Goals,Home_Assists,Away_Assists,Season_Assists,Total_Saves,Total_CS,Total_Points,Total_team_Goals,Total_team_HGoals,Total_team_AGoals,Total_team_GC,Total_team_HGC,Total_team_AGC,Min/xGI,Min/xGC,BPS/90,Bonus/90,Saves/90,Total_Minutes,Total_BPS,Total_Bonus,Season_xGI,Season_xGC,Recent_Points,Recent_xGI,Recent_xGC,Recent_Minutes,Recent_Starts,Points_per_Million,xGI_per90,Base_Form_Value,xGI_norm,Team_Attack_Norm,Team_Defence_Norm,Tuned_Score
De Cuyper,DEF,Brighton,4.6,7.8,17.0,1,0,1,2,1,3,0,3,38,16.0,8.0,8.0,5.0,1.0,4.0,251.7857142857143,1458.6206896551726,28.08510638297872,1.0638297872340423,0.0,423,132,5,1.68,0.29,7.6,1.906,4.932,84.6,5,8.260869565217392,0.35744680851063826,2.4695652173913043,1.0,0.9356096781623896,0.37009039925618803,2.6546104170193985
Mendy,DEF,Hull City,4.0,3.6,15.0,1,0,1,0,0,0,0,2,25,7.0,2.0,5.0,5.0,0.0,5.0,889.2857142857142,289.5348837209302,24.93975903614458,0.3614457831325301,0.0,249,69,1,0.28,0.86,5.0,0.306,2.9219999999999997,49.8,4,6.25,0.10120481927710845,2.25,0.283132530120482,0.39627441787737244,0.5791584012597931,2.5395792006298965
Ajayi,DEF,Hull City,4.0,1.8,14.0,1,0,1,0,0,0,0,3,27,7.0,2.0,5.0,5.0,0.0,5.0,813.4615384615385,491.8604651162791,16.80851063829787,0.425531914893617,0.0,423,79,2,0.52,0.86,5.4,0.576,3.7019999999999995,84.6,5,6.75,0.11063829787234042,2.21,0.30952380952380953,0.39627441787737244,0.5791584012597931,2.4995792006298965
Tzolakis,GKP,Hull City,4.5,2.7,10.0,0,0,0,0,0,0,17,3,34,7.0,2.0,5.0,5.0,0.0,5.0,,245.9016393442623,25.8,1.2,3.4,450,129,6,0.0,1.83,6.8,0.0,4.672,90.0,5,7.555555555555555,0.0,1.7955555555555556,0.0,0.39627441787737244,0.5791584012597931,2.085134756185452
Bogle,DEF,Leeds,4.5,0.6,6.0,1,1,2,0,0,0,0,4,42,7.0,5.0,2.0,3.0,2.0,1.0,,553.030303030303,30.08219178082192,1.4794520547945205,0.0,365,122,6,0.0,0.66,8.4,0.758,1.764,73.0,5,9.333333333333334,0.0,1.6533333333333333,0.0,0.43684185537511183,0.6090553513984199,1.9578610090325432
Justin,DEF,Leeds,4.5,1.1,10.0,0,0,0,0,0,0,0,2,26,7.0,5.0,2.0,3.0,2.0,1.0,45000.0,681.8181818181818,18.2,0.8,0.0,450,91,4,0.01,0.66,5.2,0.27199999999999996,3.874,90.0,5,5.777777777777778,0.002,1.5822222222222222,0.005595238095238096,0.43684185537511183,0.6090553513984199,1.886749897921432
Egan,DEF,Hull City,4.0,2.0,8.0,0,0,0,0,0,0,0,3,26,7.0,2.0,5.0,5.0,0.0,5.0,,238.79781420765028,14.622425629290618,0.205949656750572,0.0,437,71,1,0.0,1.83,5.2,0.018,4.646,87.4,5,6.5,0.0,1.58,0.0,0.39627441787737244,0.5791584012597931,1.8695792006298966
Janelt,MID,Brentford,5.0,0.4,9.0,2,0,2,0,0,0,0,2,28,10.0,7.0,3.0,4.0,1.0,3.0,803.5714285714284,789.4736842105264,21.8,0.6,0.0,450,109,3,0.56,0.57,5.6,0.79,3.63,90.0,5,5.6,0.11200000000000002,1.392,0.3133333333333334,0.8102963420146104,0.4558475426003437,1.8166037197051135
Calafiori,DEF,Arsenal,5.6,41.6,9.0,0,0,0,1,1,2,0,3,29,8.0,5.0,3.0,4.0,1.0,3.0,3200.0,6933.333333333334,16.442307692307693,0.4326923076923077,0.0,416,76,2,0.13,0.06,5.8,0.8859999999999999,1.4620000000000002,83.2,5,5.178571428571429,0.028125000000000004,1.2642857142857145,0.07868303571428574,0.5224600517405283,1.0,1.7642857142857145
Gvardiol,DEF,Man City,5.5,13.5,9.0,1,0,1,1,2,3,0,2,37,18.0,12.0,6.0,9.0,7.0,2.0,1808.3333333333333,667.6923076923076,27.995391705069125,1.2442396313364057,0.0,434,135,6,0.24,0.65,7.4,0.42400000000000004,3.114,86.8,5,6.7272727272727275,0.04976958525345622,1.461818181818182,0.1392363396971692,1.0,0.5320631246074443,1.727849744121904
