Web name,Position,Team,Cost,Selected,Form,Status,Minutes,Goals,Assist,Saves,GC,Season Goals,Season Assists,xA,xG,xGI,xGC,CS,OGs,Pens Missed,Pens Saved,Yellow cards,Red cards,Starts,Was home,Team H Score,Team A Score,Opponent Team,Influence,Creativity,Threat,ICT Index,Bps,Bonus,GW Points,Transfers In,Transfers Out,Next Fixture,GW
Raya,GKP,Arsenal,6.0,37.6,6.0,a,90,0,0,1,0,0,0,0.0,0.0,0.0,0.2,1,0,0,0,0,0,1,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,24,0,6,0,0,Coventry City (Away),1
Arrizabalaga,GKP,Arsenal,5.0,0.1,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,0,0,0,0,0,Coventry City (Away),1
Meslier,GKP,Arsenal,5.0,0.0,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,0,0,0,0,0,Coventry City (Away),1
Gabriel,DEF,Arsenal,8.0,29.7,5.0,a,90,0,0,0,0,0,0,0.01,0.05,0.06,0.2,1,0,0,0,1,0,1,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,21,0,5,0,0,Coventry City (Away),1
J.Timber,DEF,Arsenal,6.5,0.1,0.0,i,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,0,0,0,0,0,Coventry City (Away),1
Saliba,DEF,Arsenal,6.0,0.3,0.0,i,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,0,0,0,0,0,Coventry City (Away),1
Lewis-Skelly,MID,Arsenal,5.5,0.7,3.0,a,90,0,0,0,0,0,0,0.11,0.06,0.17,0.2,1,0,0,0,0,0,1,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,15,0,3,0,0,Coventry City (Away),1
Calafiori,DEF,Arsenal,5.5,39.8,9.0,a,80,0,1,0,0,0,1,0.09,0.04,0.13,0.06,1,0,0,0,0,0,1,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,31,0,9,0,0,Coventry City (Away),1
Hincapie,DEF,Arsenal,5.5,1.8,1.0,a,9,0,0,0,0,0,0,0.0,0.0,0.0,0.15,0,0,0,0,0,0,0,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,3,0,1,0,0,Coventry City (Away),1
White,DEF,Arsenal,5.5,4.5,11.0,a,90,0,1,0,0,0,1,0.21,0.18,0.39,0.2,1,0,0,0,0,0,1,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,37,2,11,0,0,Coventry City (Away),1
Mosquera,DEF,Arsenal,5.5,6.3,6.0,a,90,0,0,0,0,0,0,0.0,0.0,0.0,0.2,1,0,0,0,0,0,1,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,27,0,6,0,0,Coventry City (Away),1
Saka,MID,Arsenal,9.5,9.4,9.0,a,67,1,0,0,0,1,0,0.08,0.64,0.72,0.06,1,0,0,0,0,0,1,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,36,1,9,0,0,Coventry City (Away),1
Rice,MID,Arsenal,7.5,18.1,3.0,a,67,0,0,0,0,0,0,0.08,0.07,0.15,0.06,1,0,0,0,0,0,1,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,10,0,3,0,0,Coventry City (Away),1
Eze,MID,Arsenal,6.5,2.1,1.0,a,14,0,0,0,0,0,0,0.0,0.04,0.04,0.15,0,0,0,0,0,0,0,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,4,0,1,0,0,Coventry City (Away),1
Ødegaard,MID,Arsenal,6.5,8.2,11.0,a,75,1,0,0,0,1,0,0.1,0.21,0.31,0.06,1,0,0,0,0,0,1,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,41,3,11,0,0,Coventry City (Away),1
Madueke,MID,Arsenal,6.5,0.3,1.0,a,22,0,0,0,0,0,0,0.04,0.0,0.04,0.15,0,0,0,0,0,0,0,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,8,0,1,0,0,Coventry City (Away),1
Merino,MID,Arsenal,6.0,0.7,1.0,a,14,0,0,0,0,0,0,0.02,0.14,0.16,0.15,0,0,0,0,0,0,0,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,5,0,1,0,0,Coventry City (Away),1
Martinelli,MID,Arsenal,6.5,0.2,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,0,0,0,0,0,Coventry City (Away),1
Zubimendi,MID,Arsenal,5.5,1.2,1.0,a,22,0,0,0,0,0,0,0.02,0.0,0.02,0.15,0,0,0,0,0,0,0,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,3,0,1,0,0,Coventry City (Away),1
Dowman,MID,Arsenal,5.5,0.1,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,0,0,0,0,0,Coventry City (Away),1
Nwaneri,MID,Arsenal,5.5,0.0,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,0,0,0,0,0,Coventry City (Away),1
Fábio Vieira,MID,Arsenal,5.5,0.0,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,0,0,0,0,0,Coventry City (Away),1
Nelson,MID,Arsenal,5.5,0.0,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,0,0,0,0,0,Coventry City (Away),1
Gyökeres,FWD,Arsenal,7.5,9.0,0.0,a,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,True,3.0,0.0,Coventry City,0.0,0.0,0.0,0.0,0,0,0,0,0,Coventry City (Away),1
