Web name,Position,Team,Cost,Selected,Form,Status,Minutes,Goals,Assist,Saves,GC,Season Goals,Season Assists,xA,xG,xGI,xGC,CS,OGs,Pens Missed,Pens Saved,Yellow cards,Red cards,Starts,Was home,Team H Score,Team A Score,Opponent Team,Influence,Creativity,Threat,ICT Index,Bps,GW Points,Transfers In,Transfers Out,Next Fixture
Fábio Vieira,MID,Arsenal,5.4,0.0,0.0,u,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,1.0,2.0,Southampton,0.0,0.0,0.0,0.0,0,0,0,0,
G.Jesus,FWD,Arsenal,6.5,1.0,0.0,i,0,0,0,0,0,3,2,0.52,3.05,3.57,5.82,0,0,0,0,0,0,0,False,1.0,2.0,Southampton,0.0,0.0,0.0,0.0,0,0,196,345,
Gabriel,DEF,Arsenal,6.1,12.2,0.0,i,0,0,0,0,0,3,2,1.21,2.7,3.91,23.09,0,0,0,0,0,0,0,False,1.0,2.0,Southampton,0.0,0.0,0.0,0.0,0,0,399,19584,
Havertz,FWD,Arsenal,7.7,6.2,0.0,a,19,0,0,0,0,9,3,1.65,9.53,11.18,19.32,0,0,0,0,0,0,0,False,1.0,2.0,Southampton,0.2,11.9,8.0,2.0,3,1,54198,2813,
Hein,GKP,Arsenal,4.0,0.0,0.0,u,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False,1.0,2.0,Southampton,0.0,0.0,0.0,0.0,0,0,0,11,
J.Timber,DEF,Arsenal,5.5,4.3,0.0,i,0,0,0,0,0,1,3,1.3,1.23,2.53,21.09,0,0,0,0,0,0,0,False,1.0,2.0,Southampton,0.0,0.0,0.0,0.0,0,0,986,132140,
Jorginho,MID,Arsenal,4.6,0.2,0.0,a,0,0,0,0,0,0,0,0.59,0.06,0.65,6.05,0,0,0,0,0,0,0,False,1.0,2.0,Southampton,0.0,0.0,0.0,0.0,0,0,123,51,
Kiwior,DEF,Arsenal,4.9,3.8,0.0,a,90,0,0,0,1,1,0,0.29,0.17,0.46,14.71,0,0,0,0,0,0,1,False,1.0,2.0,Southampton,22.4,5.3,0.0,2.8,10,2,195803,4533,
Martinelli,MID,Arsenal,6.5,3.1,0.0,a,70,0,0,0,1,8,4,4.46,7.13,11.59,26.22,0,0,0,0,0,0,1,False,1.0,2.0,Southampton,19.0,42.8,48.0,11.0,11,2,51514,8016,
Nwaneri,MID,Arsenal,4.3,1.5,0.0,a,74,0,0,0,1,4,2,1.78,1.19,2.97,5.38,0,0,0,0,0,0,1,False,1.0,2.0,Southampton,15.0,50.3,25.0,9.0,17,2,6797,16487,
Ødegaard,MID,Arsenal,8.2,5.7,0.0,a,15,1,0,0,0,3,9,6.68,4.85,11.53,22.16,0,0,0,0,0,0,0,False,1.0,2.0,Southampton,35.2,2.9,9.0,4.7,26,7,82798,7384,
